startdate,enddate,ticker
31-03-2008,30-06-2008,EUROCERA.NS
30-06-2008,30-09-2008,XLENERGY.NS
30-06-2010,30-09-2010,JYOTISTRUC.NS
30-06-2010,30-09-2010,SANCO.NS
30-09-2010,31-12-2010,JYOTISTRUC.NS
30-09-2010,31-12-2010,SANCO.NS
31-12-2010,31-03-2011,JYOTISTRUC.NS
31-12-2010,31-03-2011,SANCO.NS
30-06-2011,30-09-2011,JVLAGRO.NS
30-09-2011,31-12-2011,JVLAGRO.NS
31-12-2011,31-03-2012,JVLAGRO.NS
30-06-2013,30-09-2013,PUNJLLOYD.NS
30-09-2013,31-12-2013,PUNJLLOYD.NS
31-12-2013,31-03-2014,PUNJLLOYD.NS
30-06-2015,30-09-2015,EASUNREYRL.NS
30-06-2015,30-09-2015,EDUCOMP.NS
30-06-2015,30-09-2015,HIGHGROUND.NS
30-06-2015,30-09-2015,IL&FSTRANS.NS
30-09-2015,31-12-2015,EASUNREYRL.NS
30-09-2015,31-12-2015,EDUCOMP.NS
30-09-2015,31-12-2015,HIGHGROUND.NS
30-09-2015,31-12-2015,IL&FSTRANS.NS
31-12-2015,31-03-2016,EASUNREYRL.NS
31-12-2015,31-03-2016,EDUCOMP.NS
31-12-2015,31-03-2016,HIGHGROUND.NS
31-12-2015,31-03-2016,IL&FSTRANS.NS
30-06-2016,30-09-2016,DOLPHINOFF.NS
30-06-2016,30-09-2016,NITINFIRE.NS
30-06-2016,30-09-2016,SHILPI.NS
30-09-2016,31-12-2016,DOLPHINOFF.NS
30-09-2016,31-12-2016,NITINFIRE.NS
30-09-2016,31-12-2016,NUTEK.NS
30-09-2016,31-12-2016,SHILPI.NS
31-12-2016,31-03-2017,DOLPHINOFF.NS
31-12-2016,31-03-2017,GITANJALI.NS
31-12-2016,31-03-2017,NITINFIRE.NS
31-12-2016,31-03-2017,NUTEK.NS
31-12-2016,31-03-2017,SHILPI.NS
31-03-2017,30-06-2017,DIAPOWER.NS
31-03-2017,30-06-2017,GITANJALI.NS
31-03-2017,30-06-2017,NUTEK.NS
30-06-2017,30-09-2017,COX&KINGS.NS
30-06-2017,30-09-2017,DIAPOWER.NS
30-06-2017,30-09-2017,DUCON.NS
30-06-2017,30-09-2017,GITANJALI.NS
30-06-2017,30-09-2017,M&MFIN.NS
30-09-2017,31-12-2017,COX&KINGS.NS
30-09-2017,31-12-2017,DIAPOWER.NS
30-09-2017,31-12-2017,DUCON.NS
30-09-2017,31-12-2017,GET&D.NS
30-09-2017,31-12-2017,M&MFIN.NS
31-12-2017,31-03-2018,COX&KINGS.NS
31-12-2017,31-03-2018,GET&D.NS
31-12-2017,31-03-2018,M&MFIN.NS
31-12-2017,31-03-2018,METKORE.NS
