startdate,enddate,ticker,changelist
31-03-2008,30-06-2008,EUROCERA.NS,-50.999200651675935
30-06-2008,30-09-2008,XLENERGY.NS,-62.53846095158504
30-06-2010,30-09-2010,JYOTISTRUC.NS,-8.945456764914772
30-09-2010,31-12-2010,JYOTISTRUC.NS,-33.120001220703124
31-12-2010,31-03-2011,JYOTISTRUC.NS,2.3493939135448043
30-06-2011,30-09-2011,JVLAGRO.NS,-10.971786965059705
30-09-2011,31-12-2011,JVLAGRO.NS,21.052631578947366
31-12-2011,31-03-2012,JVLAGRO.NS,-12.209304001861216
30-06-2013,30-09-2013,PUNJLLOYD.NS,23.890062197309213
30-09-2013,31-12-2013,PUNJLLOYD.NS,-2.413795734273976
31-12-2013,31-03-2014,PUNJLLOYD.NS,84.78260614170398
30-06-2015,30-09-2015,EASUNREYRL.NS,11.111115392477455
30-06-2015,30-09-2015,EDUCOMP.NS,46.32034060126729
30-06-2015,30-09-2015,IL&FSTRANS.NS,-8.10802457814616
30-09-2015,31-12-2015,EASUNREYRL.NS,-31.818181818181817
30-09-2015,31-12-2015,EDUCOMP.NS,-30.232561234205324
30-09-2015,31-12-2015,IL&FSTRANS.NS,-21.134025123341875
31-12-2015,31-03-2016,EASUNREYRL.NS,3.4999974568684893
31-12-2015,31-03-2016,EDUCOMP.NS,3.3472851764772353
31-12-2015,31-03-2016,IL&FSTRANS.NS,3.8571384974888394
30-06-2016,30-09-2016,DOLPHINOFF.NS,50.42682740746475
30-06-2016,30-09-2016,NITINFIRE.NS,-5.9405940594059405
30-06-2016,30-09-2016,SHILPI.NS,1.7175036105165402
30-09-2016,31-12-2016,DOLPHINOFF.NS,2.9246745250243524
30-09-2016,31-12-2016,NITINFIRE.NS,-5.252101008698952
30-09-2016,31-12-2016,NUTEK.NS,-17.64706253592933
30-09-2016,31-12-2016,SHILPI.NS,9.547738693467336
31-12-2016,31-03-2017,DOLPHINOFF.NS,-21.330642700195312
31-12-2016,31-03-2017,GITANJALI.NS,-6.156154006090914
31-12-2016,31-03-2017,NITINFIRE.NS,-59.259258951448636
31-12-2016,31-03-2017,NUTEK.NS,15.38461961689801
31-12-2016,31-03-2017,SHILPI.NS,-84.44899791588294
31-03-2017,30-06-2017,DIAPOWER.NS,-24.237286842475502
31-03-2017,30-06-2017,GITANJALI.NS,8.0
31-03-2017,30-06-2017,NUTEK.NS,-6.66666825612386
